employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score
67269,Analytics,region_22,Bachelor's,m,sourcing,2,36,3,3,0,0,85
54055,Analytics,region_24,Bachelor's,m,other,1,37,3,10,0,0,82
61083,Analytics,region_13,Bachelor's,m,sourcing,1,34,3,3,1,0,87
55325,Analytics,region_22,Bachelor's,m,other,1,25,,1,0,0,88
41432,Analytics,region_26,Bachelor's,m,sourcing,1,26,5,4,1,0,90
10059,Analytics,region_34,Bachelor's,m,sourcing,3,27,3,2,0,0,83
65975,Analytics,region_29,Bachelor's,m,other,2,28,5,4,1,0,84
51972,Analytics,region_7,Bachelor's,m,sourcing,1,32,4,6,0,0,85
9548,Analytics,region_22,Bachelor's,m,sourcing,2,38,4,13,0,0,87
64,Analytics,region_4,Bachelor's,m,other,1,42,5,11,1,0,80
10732,Analytics,region_2,Bachelor's,m,other,1,31,5,5,1,0,92
45009,Analytics,region_29,Bachelor's,m,sourcing,1,32,3,5,1,0,86
67417,Analytics,region_29,Bachelor's,m,other,1,37,5,4,0,0,82
29681,Analytics,region_19,Bachelor's,m,other,1,29,3,4,0,0,84
17936,Analytics,region_29,Bachelor's,m,other,1,28,3,7,0,0,83
26037,Analytics,region_16,Bachelor's,m,other,2,31,3,5,1,0,81
30607,Analytics,region_22,Bachelor's,m,sourcing,1,28,5,4,1,0,85
3864,Analytics,region_13,Bachelor's,m,other,1,46,4,6,0,0,82
19513,Analytics,region_6,Bachelor's,m,other,1,28,,1,1,0,84
67233,Analytics,region_32,Bachelor's,m,sourcing,1,38,3,3,0,0,82
38096,Analytics,region_22,Bachelor's,m,sourcing,2,28,,1,0,0,83
13593,Analytics,region_26,Bachelor's,m,sourcing,1,30,5,4,1,0,84
52138,Analytics,region_16,Bachelor's,m,other,1,28,3,4,0,0,83
3987,Analytics,region_29,Bachelor's,m,other,1,34,2,5,0,0,84
29998,Analytics,region_34,Bachelor's,m,other,1,35,5,10,1,0,85
44299,Analytics,region_29,Bachelor's,m,other,1,30,3,4,0,0,83
47051,Analytics,region_2,Bachelor's,m,sourcing,2,39,4,5,1,0,86
17760,Analytics,region_27,Bachelor's,m,other,1,28,5,2,1,0,87
38018,Analytics,region_11,Bachelor's,m,other,1,30,3,4,0,0,80
29799,Analytics,region_4,Bachelor's,m,other,1,32,5,8,0,0,86
31049,Analytics,region_13,Bachelor's,m,sourcing,1,34,4,9,0,0,84
17603,Analytics,region_26,Bachelor's,m,sourcing,1,29,,1,0,0,84
31641,Analytics,region_2,Bachelor's,m,other,1,37,3,4,1,0,81
10376,Analytics,region_31,Bachelor's,m,other,1,39,3,10,0,0,86
43891,Analytics,region_26,Bachelor's,m,other,1,30,2,5,0,0,88
77266,Analytics,region_15,Bachelor's,m,sourcing,1,29,,1,1,0,89
27999,Analytics,region_6,Bachelor's,m,sourcing,1,28,5,2,1,0,86
32124,Analytics,region_32,Bachelor's,f,sourcing,1,29,1,4,0,0,87
48160,Analytics,region_31,Bachelor's,m,other,1,34,1,3,0,0,87
30283,Analytics,region_5,Bachelor's,m,other,1,31,5,4,0,0,88
42182,Analytics,region_29,Bachelor's,f,other,1,31,4,3,1,0,81
71289,Analytics,region_15,Bachelor's,m,other,1,29,,1,0,0,83
50266,Analytics,region_30,Bachelor's,m,sourcing,1,30,5,5,1,0,86
34661,Analytics,region_22,Bachelor's,m,other,1,30,2,5,1,0,84
57527,Analytics,region_34,Bachelor's,m,sourcing,2,27,4,2,0,0,86
39204,Analytics,region_24,Bachelor's,m,other,1,32,4,8,1,0,83
26883,Analytics,region_27,Bachelor's,m,sourcing,3,29,5,5,0,0,87
11436,Analytics,region_21,Bachelor's,m,sourcing,1,27,3,2,0,0,82
40162,Analytics,region_15,Bachelor's,m,sourcing,1,23,,1,0,0,85
31492,Analytics,region_25,Bachelor's,m,sourcing,1,27,3,2,1,0,85
20345,Analytics,region_21,Bachelor's,m,other,2,27,5,5,1,0,83
29033,Analytics,region_31,Bachelor's,m,sourcing,1,30,4,4,1,0,91
18493,Analytics,region_7,Bachelor's,m,other,1,33,5,5,0,0,82
17816,Analytics,region_15,Bachelor's,m,sourcing,1,30,4,5,0,0,80
19098,Analytics,region_15,Bachelor's,m,other,1,31,4,4,0,1,85
77703,Analytics,region_22,Bachelor's,m,sourcing,2,32,3,9,0,0,83
30307,Analytics,region_2,Bachelor's,m,other,3,38,3,10,1,0,86
16426,Analytics,region_31,Bachelor's,m,sourcing,1,27,1,4,0,0,83
29954,Analytics,region_31,Bachelor's,m,sourcing,2,28,4,2,0,0,85
49902,Analytics,region_25,Bachelor's,m,other,1,32,3,3,0,0,82
65248,Analytics,region_29,Bachelor's,m,sourcing,1,31,4,7,1,0,87
8824,Analytics,region_29,Bachelor's,m,other,2,27,3,3,0,0,85
30534,Analytics,region_4,Bachelor's,m,sourcing,1,29,4,3,0,0,89
33834,Analytics,region_22,Bachelor's,m,sourcing,2,30,3,5,0,0,83
24099,Analytics,region_30,Bachelor's,m,sourcing,1,34,5,6,1,0,85
24091,Analytics,region_16,Bachelor's,m,other,1,34,5,7,1,0,86
65465,Analytics,region_30,Bachelor's,m,other,1,34,5,9,0,0,82
43824,Analytics,region_26,Bachelor's,m,sourcing,1,30,3,5,0,0,87
67658,Analytics,region_32,Bachelor's,m,other,1,26,3,2,0,0,84
1183,Analytics,region_27,Bachelor's,m,other,2,35,3,10,0,0,86
22506,Analytics,region_22,Bachelor's,m,other,2,35,2,4,0,0,87
7488,Analytics,region_19,Bachelor's,m,other,1,33,3,6,0,0,83
42978,Analytics,region_2,Bachelor's,m,other,1,35,1,4,0,0,86
